id_mutation,nom_ev,distance_parc_plus_proche
2022-1621609,SQUARE DE L'EGLISE NOTRE-DAME DE LA CROIX,147.539561948055
2022-1621611,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,360.350831477293
2022-1621614,JARDIN PAULE MINCK,316.8107083878133
2022-1621616,JARDIN HENRI SAUVAGE,166.85856111154484
2022-1621624,SQUARE ERNEST CHAUSSON,222.32670896408104
2022-1621625,SQUARE SAINT-BERNARD - SAID BOUZIRI,398.7644664398761
2022-1621635,SQUARE ERNEST CHAUSSON,209.77351514381735
2022-1621636,SQUARE ERNEST CHAUSSON,209.77351514381735
2022-1621637,SQUARE RUE PETIT,60.502168794175745
2022-1621640,JARDIN DE L'ILOT RIQUET,278.50792222068685
2022-1621643,JARDIN DE NOTRE DAME DE FATIMA,303.27467699837337
2022-1621645,SQUARE JULIETTE DODU,141.7103495438686
2022-1621651,SQUARE JULIETTE DODU,556.3727093154599
2022-1621656,JARDIN D'EOLE,431.319163955133
2022-1621658,PROMENADE PEREIRE - PROMENADE GILBERTE BROSSOLETTE,541.099411824176
2022-1621661,JARDIN CASQUE D'OR,45.977274813975626
2022-1621676,JARDIN DU 60 RUE DE LA JUSTICE,95.55796687311643
2022-1621680,JARDINS ROSA LUXEMBURG,154.07795340467902
2022-1621682,PARC DES BUTTES CHAUMONT,343.24051591016587
2022-1621683,JARDIN MARIA VERONE,214.9855525513561
2022-1621692,SQUARE LOUISE MICHEL,345.9777838443269
2022-1621697,JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN),428.6813814870354
2022-1621716,SQUARE MADELEINE TRIBOLATI,108.40500449280158
2022-1621721,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,283.41994715488124
2022-1621732,JARDIN DU 8 RUE DE LA MADONE (JARDIN EVANGILE),107.93241163786172
2022-1621741,JARDIN DE LA BIBLIOTHEQUE THIERS (FONDATION DOSNE),219.244146023779
2022-1621746,SQUARE SAINT-BERNARD - SAID BOUZIRI,371.7953911766626
2022-1621749,SQUARE LEON SERPOLLET,318.4381045157408
2022-1621752,JARDIN PAULE MINCK,241.46958215020635
2022-1621766,PARC CLICHY-BATIGNOLLES - MARTIN LUTHER KING,128.6080062064926
2022-1621784,SQUARE JULES VERNE,220.1022642441802
2022-1621787,SQUARE YILMAZ GUNEY,152.9769666706871
2022-1621793,JARDIN LOUISE WEBER DITE LA GOULUE,215.22002427510645
2022-1621803,JARDIN PIXERECOURT,89.23572073162359
2022-1621813,SQUARE D'ESTIENNE D'ORVES,114.251935985342
2022-1621818,JARDIN MARIA VERONE,54.08999124404524
2022-1621820,SQUARE DES RECOLLETS,93.1866679399635
2022-1621824,SQUARE ARISTIDE CAVAILLE-COLL,38.42507251737487
2022-1621829,JARDIN DU 60 RUE DE LA JUSTICE,285.4590810619816
2022-1621830,SQUARE EMILY DICKINSON,70.94595222078809
2022-1621835,SQUARE RUE PETIT,74.89265948827348
2022-1621843,SQUARE EMILE CHAUTEMPS,332.5694896467252
2022-1621844,JARDIN DES RUES MARONITES - PRESSOIR,174.04218147775813
2022-1621845,JARDIN DAMIA,145.90197543410707
2022-1621857,PLATE-BANDES DU BOULEVARD SERURIER ESPACE CANIN,226.31880741132025
2022-1621858,SQUARE BERLIOZ,466.37271424400376
