id_mutation,nom_station,distance_station_plus_proche
2022-1621609,Ménilmontant,391.40192030163695
2022-1621611,Crimée,95.81581802775682
2022-1621614,Adrienne Bolland,118.47592752171575
2022-1621616,Diane Arbus,293.6971063282001
2022-1621624,La Fourche,209.00464332242177
2022-1621625,Marx Dormoy,348.7725281998169
2022-1621635,La Fourche,203.30043435503973
2022-1621636,La Fourche,203.30043435503973
2022-1621637,Laumière,230.3109555343742
2022-1621640,Crimée,315.07929615075346
2022-1621643,Hôpital Robert Debré,188.34895088345448
2022-1621645,Colonel Fabien,109.31026374764949
2022-1621651,Bolivar,166.2199016990958
2022-1621656,Stalingrad,67.07091262169541
2022-1621658,Ternes,191.28815138701165
2022-1621661,Buzenval,298.3104901714998
2022-1621676,Séverine,146.35436769408673
2022-1621680,Marx Dormoy,210.64162001814523
2022-1621682,Ourcq,401.68867948336907
2022-1621683,Angélique Compoint,248.2559213857674
2022-1621692,Château Rouge,116.86599843351269
2022-1621697,Rambuteau,165.49486508341843
2022-1621716,Château-Landon,158.14822298284952
2022-1621721,Simplon,169.65529010768668
2022-1621732,Marx Dormoy,357.0963232182069
2022-1621741,Saint-Georges,100.48426008133835
2022-1621746,Marx Dormoy,296.00395276469334
2022-1621749,Jules Joffrin,324.50552842777313
2022-1621752,Saint-Fargeau,96.89072759137257
2022-1621766,Porte de Clichy,85.408439764825
2022-1621784,Belleville,163.90229536186314
2022-1621787,Strasbourg-Saint-Denis,230.7290503417018
2022-1621793,Abbesses,190.49957338379838
2022-1621803,Télégraphe,350.8090477787284
2022-1621813,Trinité d'Estienne d'Orves,147.24098298509617
2022-1621818,Angélique Compoint,225.43639462474889
2022-1621820,Jacques Bonsergent,403.1035451185545
2022-1621824,Poissonnière,249.87602952843304
2022-1621829,Séverine,256.72440803669457
2022-1621830,Avron,151.77768314511644
2022-1621835,Laumière,246.2029665600284
2022-1621843,Arts et Métiers,161.5245122600965
2022-1621844,Couronnes,279.09772760077556
2022-1621845,Alexandre Dumas,66.26856439954454
2022-1621857,Porte des Lilas,229.9874404609524
2022-1621858,Blanche,49.95416410299275
2022-1621864,Pelleport,103.43993244946745
2022-1621876,Marx Dormoy,314.1250587221898
2022-1621878,Simplon,294.46051542992785
2022-1621888,Saint-Paul,97.80675228305522
2022-1621892,La Fourche,209.5017380593438
2022-1621902,Angélique Compoint,216.8438258684942
2022-1621910,Marx Dormoy,112.36923072466364
2022-1621915,Angélique Compoint,425.58399396778856
2022-1621931,Marie de Miribel,165.6576690931057
2022-1621938,Madeleine,211.01346717095387
2022-1621959,Maraîchers,399.56804174654656
2022-1621967,Buttes-Chaumont,245.39453922698775
2022-1621984,Strasbourg-Saint-Denis,94.63315632503873
2022-1621987,Strasbourg-Saint-Denis,94.63315632503873
2022-1621991,Porte de Saint-Ouen,75.15259018562222
2022-1621992,Franklin D. Roosevelt,320.9814256273281
2022-1621998,Havre-Caumartin,111.14891773051626
2022-1621999,Château Rouge,175.71698258990045
2022-1622001,Château Rouge,175.71698258990045
2022-1622003,Château Rouge,377.5063844029915
2022-1622007,Poissonnière,209.81617693339362
2022-1622022,Poissonnière,107.32339820581188
2022-1622023,Saint-Georges,320.90334996596044
2022-1622028,Saint-Paul,183.2574920643631
2022-1622038,Havre-Caumartin,192.4481763265188
2022-1622047,Porte de Clignancourt,264.5884771256983
2022-1622065,Marx Dormoy,420.805021742153
2022-1622090,Porte de Clignancourt,205.70408824310613
2022-1622098,Jourdain,233.74239124582095
2022-1622102,George V,341.8576230733314
2022-1622113,Marx Dormoy,271.9540258342054
2022-1622120,Château Rouge,391.89306664973066
2022-1622126,Télégraphe,215.9761742222375
2022-1622140,La Chapelle,221.46801089063277
2022-1622152,Télégraphe,351.5101247201647
2022-1622156,Étienne Marcel,85.89502294644586
2022-1622159,Pelleport,274.80693021591543
2022-1622160,Louis Blanc,94.02456869190134
2022-1622161,Porte de Bagnolet,101.49038528025045
2022-1622166,Pyrénées,204.72063326967978
2022-1622183,Cadet,198.52068465807807
2022-1622190,Ménilmontant,342.2171890559159
2022-1622194,Avron,151.77768314511644
